postAtSpecificTime (YYYY-MM-DD HH:mm:ss),content,link (OGmetaUrl),imageUrls,gifUrl,videoUrls
2026-04-19 11:00:00,"Woke up. Still here. Still building. Alhamdulillah.

#Alhamdulillah #Mindset #Builder #NomadCEO",,[UPLOAD_TO_GHL]/post_01.jpg,,
2026-04-19 16:00:00,"Wrote code at 3am. Coffee was cold. Bug fixed itself when I stepped away.

Sometimes the answer is walk outside.

#DevLife #Coding #VibeCoding",,[UPLOAD_TO_GHL]/post_02.jpg,,
2026-04-19 21:00:00,"First job you ever had — what was it?

Drop it in the comments 👇

#Throwback #Community",,[UPLOAD_TO_GHL]/post_03.jpg,,
2026-04-20 11:00:00,"Small moves every day beat big moves once a year.

#Consistency #Discipline #Mindset",,[UPLOAD_TO_GHL]/post_04.jpg,,
2026-04-20 16:00:00,"2026 and I still get excited when code runs first try 😅

Especially with N8N automations these days — multiple errors, half of them won't even run.

Note: I don't use custom-made workflows. Too many errors. I prefer to build my own.

TIP: Use Claude Code. Give it complete instructions about N8N + the N8N skill. Then watch the magic happen.

#N8N #Automation #ClaudeCode #NoCode #AI #AIAutomation",,[UPLOAD_TO_GHL]/post_05.jpg,,
2026-04-20 21:00:00,"One place you'd fly back to tomorrow if you could?

#Travel #NomadLife #Wanderlust",,[UPLOAD_TO_GHL]/post_06.jpg,,
2026-04-21 11:00:00,"Half my wins came from just not quitting that week.

#Grit #Resilience #Mindset",,[UPLOAD_TO_GHL]/post_07.jpg,,
2026-04-21 16:00:00,"Asked AI to fix my code.

It asked me to fix my logic.

Humbling.

#AI #Coding #DevHumor #AITools",,[UPLOAD_TO_GHL]/post_08.jpg,,
2026-04-21 21:00:00,"Childhood snack you still crave?

#Throwback #Childhood #Foodie",,[UPLOAD_TO_GHL]/post_09.jpg,,
2026-04-22 11:00:00,"Plans fail. Habits don't.

#Habits #Discipline #Productivity",,[UPLOAD_TO_GHL]/post_10.jpg,,
2026-04-22 16:00:00,"Automation saved me 6 hours today.

Spent 3 of them with family. Won twice.

#Automation #WorkLifeBalance #AI #Family",,[UPLOAD_TO_GHL]/post_11.jpg,,
2026-04-22 21:00:00,"One habit you're proud of keeping this year?

#SelfImprovement #Habits #Growth",,[UPLOAD_TO_GHL]/post_12.jpg,,
2026-04-23 11:00:00,"Money buys time. Time buys peace. Chase the second one.

#Wisdom #Wealth #Peace #Mindset",,[UPLOAD_TO_GHL]/post_13.jpg,,
2026-04-23 16:00:00,"Vibe coding > grind coding.

Music on. No Slack. No meetings. Just ship.

#VibeCoding #Developers #Flow #DevLife",,[UPLOAD_TO_GHL]/post_14.jpg,,
2026-04-23 21:00:00,"Last book that actually changed something in your head?

#Books #Reading #BookRecs",,[UPLOAD_TO_GHL]/post_15.jpg,,
2026-04-24 11:00:00,"Comparison steals more hours than Netflix ever did.

#Mindset #SelfGrowth #Focus",,[UPLOAD_TO_GHL]/post_16.jpg,,
2026-04-24 16:00:00,"Built something last night. Nobody asked for it.

That's the best kind of thing to build.

#Builder #SideProject #MakerLife",,[UPLOAD_TO_GHL]/post_17.jpg,,
2026-04-24 21:00:00,"Drop your city in one emoji. No words.

#CommunityPost #Travel",,[UPLOAD_TO_GHL]/post_18.jpg,,
2026-04-25 11:00:00,"Sleep isn't lazy. Broken people can't build.

#Sleep #Recovery #Performance",,[UPLOAD_TO_GHL]/post_19.jpg,,
2026-04-25 16:00:00,"N8N workflows are just adult LEGO. Fight me.

#N8N #Automation #LowCode #NoCode",,[UPLOAD_TO_GHL]/post_20.jpg,,
2026-04-25 21:00:00,"Free Sunday, zero plans — what are you doing?

#SundayVibes #WeekendMood",,[UPLOAD_TO_GHL]/post_21.jpg,,
2026-04-26 11:00:00,"Saying ""no"" is a skill. Took me years to learn it.

#Boundaries #SelfGrowth #Focus",,[UPLOAD_TO_GHL]/post_22.jpg,,
2026-04-26 16:00:00,"The future isn't ""AI replaces you.""

It's ""you with AI replaces you without AI.""

What's your thought on this?

Thinking of doing a LIVE SESSION on this 😄
Debate winner gets a FREE coffee at CBTL 😅 (Lahore only!)

#AI #FutureOfWork #Debate #Lahore #AITools",,[UPLOAD_TO_GHL]/post_23.jpg,,
2026-04-26 21:00:00,"Worst haircut you ever paid for?

#Throwback #Funny #Memories",,[UPLOAD_TO_GHL]/post_24.jpg,,
2026-04-27 11:00:00,"Last weekend I did the math — 10,000+ hours in this industry across 6 years. Average 5 hours a day.

Does that make me an expert?

Honestly, not sure. But I had to evolve.

Inshallah, still evolving.

#10000Hours #Expertise #Growth #Evolution #Journey",,[UPLOAD_TO_GHL]/post_25.jpg,,
2026-04-27 16:00:00,"Best investment of 2026 for me: learning how to prompt properly. Cheaper than any course.

Also — learning how to train the memory of an AI tool.

Huge thanks to Hamza Hashim — he helped me train my AI memory properly. MD file dialed in, best skills added, tokens cut down big time.

Any tips from your side, bro?

#AI #PromptEngineering #ClaudeCode #AIMemory #AITools",,[UPLOAD_TO_GHL]/post_26.jpg,,
2026-04-27 21:00:00,"What do you wish you'd learned 5 years earlier?

#Wisdom #Growth #Reflection",,[UPLOAD_TO_GHL]/post_27.jpg,,
2026-04-28 11:00:00,"Motivation is a lie. Systems ship.

P.S. Someone please fix the Claude Code token situation 😃

#Systems #Productivity #ClaudeCode #AI",,[UPLOAD_TO_GHL]/post_28.jpg,,
2026-04-28 16:00:00,"Laptop, wifi, one good idea. That's a business now.

Wild time to be alive.

#Entrepreneurship #SoloFounder #NomadCEO #RemoteWork",,[UPLOAD_TO_GHL]/post_29.jpg,,
2026-04-28 21:00:00,"Shipped something small today. Nobody clapped. Still counts.

#Builder #ShipIt #MakerLife",,[UPLOAD_TO_GHL]/post_30.jpg,,
